# Разрез Search Console по page, окно 2026-06-19..2026-09-16. Показов в разрезе 20581 из 19742 в итоге (104%): остальное Google не отдаёт по анонимизации, и это не потеря данных, а её предел
# Снято ботом 2026-09-17. Правки руками будут стёрты следующим прогоном.
site,page,impressions,clicks,ctr,position
gspaytables,https://gspaytables.com/locality/rest-of-u-s/,73,0,0.0,16.0
gspaytables,https://gspaytables.com/locality/richmond-va/,157,0,0.0,9.8
gspaytables,https://gspaytables.com/locality/rochester-batavia-seneca-falls-ny/,39,0,0.0,15.1
gspaytables,https://gspaytables.com/locality/sacramento-roseville-ca-nv/,77,0,0.0,11.0
gspaytables,https://gspaytables.com/locality/san-antonio-new-braunfels-pearsall-tx/,71,0,0.0,11.6
gspaytables,https://gspaytables.com/locality/san-diego-chula-vista-carlsbad-ca/,110,0,0.0,12.5
gspaytables,https://gspaytables.com/locality/san-jose-san-francisco-oakland-ca/,56,0,0.0,18.0
gspaytables,https://gspaytables.com/locality/spokane-spokane-valley-coeur-d-alene-wa-id/,70,0,0.0,11.8
gspaytables,https://gspaytables.com/locality/st-louis-st-charles-farmington-mo-il/,26,0,0.0,10.8
gspaytables,https://gspaytables.com/locality/tucson-nogales-az/,88,0,0.0,9.8
gspaytables,https://gspaytables.com/locality/virginia-beach-norfolk-va-nc/,341,0,0.0,11.3
gspaytables,https://gspaytables.com/privacy/,2,0,0.0,39.0
gspaytables,https://gspaytables.com/promotion/,48,0,0.0,11.6
gspaytables,https://gspaytables.com/promotion/gs-1-to-gs-2/,16,0,0.0,42.1
gspaytables,https://gspaytables.com/promotion/gs-12-to-gs-13/,45,0,0.0,20.0
gspaytables,https://gspaytables.com/promotion/gs-2-to-gs-3/,5,0,0.0,57.6
gspaytables,https://gspaytables.com/promotion/gs-3-to-gs-4/,27,0,0.0,30.5
gspaytables,https://gspaytables.com/promotion/gs-4-to-gs-5/,19,0,0.0,29.5
gspaytables,https://gspaytables.com/promotion/gs-5-to-gs-6/,46,0,0.0,7.3
gspaytables,https://gspaytables.com/promotion/gs-6-to-gs-7/,62,0,0.0,9.5
gspaytables,https://gspaytables.com/promotion/gs-7-to-gs-8/,19,0,0.0,11.3
gspaytables,https://gspaytables.com/promotion/gs-8-to-gs-9/,36,0,0.0,11.1
gspaytables,https://gspaytables.com/promotion/gs-9-to-gs-10/,1,0,0.0,55.0
gspaytables,https://gspaytables.com/states/,54,0,0.0,9.1
gspaytables,https://gspaytables.com/states/arizona/,85,0,0.0,10.7
gspaytables,https://gspaytables.com/states/california/,24,0,0.0,21.8
gspaytables,https://gspaytables.com/states/delaware/,58,0,0.0,10.7
gspaytables,https://gspaytables.com/states/district-of-columbia/,117,0,0.0,44.1
gspaytables,https://gspaytables.com/states/florida/,231,0,0.0,10.5
gspaytables,https://gspaytables.com/states/hawaii/,16,0,0.0,9.6
gspaytables,https://gspaytables.com/states/indiana/,94,0,0.0,10.7
gspaytables,https://gspaytables.com/states/kansas/,26,0,0.0,15.3
gspaytables,https://gspaytables.com/states/massachusetts/,16,0,0.0,7.8
