# Перепись индексации по адресам карты сайта; обновляется ПО КРУГУ, у каждого адреса своя дата проверки. Считать по verdict (enum), НЕ по coverage: coverage — человекочитаемая строка без объявленного набора значений
# Снято ботом 2026-09-08. Правки руками будут стёрты следующим прогоном.
site,url,verdict,coverage,fetch_state,robots,last_crawl,checked
gspaytables,https://gspaytables.com/locality/san-jose-san-francisco-oakland-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/locality/st-louis-st-charles-farmington-mo-il/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/spokane-spokane-valley-coeur-d-alene-wa-id/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/san-antonio-new-braunfels-pearsall-tx/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/tucson-nogales-az/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/virginia-beach-norfolk-va-nc/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/gs-1/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/gs-2/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/gs-3/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/gs-4/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
gspaytables,https://gspaytables.com/gs-5/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/gs-6/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/gs-7/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-02,2026-09-08
gspaytables,https://gspaytables.com/gs-8/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-30,2026-09-08
gspaytables,https://gspaytables.com/gs-9/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/gs-10/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
gspaytables,https://gspaytables.com/gs-11/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/gs-12/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/gs-13/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/gs-14/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/gs-15/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/grades/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/calculator/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/san-jose-ca-vs-new-york-ny/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/san-jose-ca-vs-los-angeles-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/san-jose-ca-vs-houston-tx/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/compare/san-jose-ca-vs-washington-dc/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/san-jose-ca-vs-san-diego-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/san-jose-ca-vs-rest-of-u-s/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/new-york-ny-vs-los-angeles-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/new-york-ny-vs-houston-tx/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
gspaytables,https://gspaytables.com/compare/new-york-ny-vs-washington-dc/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/new-york-ny-vs-san-diego-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/new-york-ny-vs-rest-of-u-s/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/los-angeles-ca-vs-houston-tx/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/los-angeles-ca-vs-washington-dc/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/los-angeles-ca-vs-san-diego-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/los-angeles-ca-vs-rest-of-u-s/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/houston-tx-vs-washington-dc/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/houston-tx-vs-san-diego-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
gspaytables,https://gspaytables.com/compare/houston-tx-vs-rest-of-u-s/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/washington-dc-vs-san-diego-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/washington-dc-vs-rest-of-u-s/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/san-diego-ca-vs-rest-of-u-s/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/compare/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/states/alabama/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/alaska/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/arizona/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/california/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/colorado/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/connecticut/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/delaware/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/district-of-columbia/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/florida/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/georgia/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/hawaii/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/idaho/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/illinois/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/indiana/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/iowa/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/kansas/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/kentucky/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/maine/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/maryland/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-30,2026-09-08
gspaytables,https://gspaytables.com/states/massachusetts/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/michigan/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/minnesota/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/missouri/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/nebraska/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
gspaytables,https://gspaytables.com/states/nevada/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/new-hampshire/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/new-jersey/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/new-mexico/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/new-york/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/north-carolina/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/ohio/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/oklahoma/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/states/oregon/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/pennsylvania/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/rhode-island/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/south-carolina/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/tennessee/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/states/texas/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/vermont/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/virginia/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/washington/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/west-virginia/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/wisconsin/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/states/no-locality-area/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/states/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-1-to-gs-2/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-2-to-gs-3/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-3-to-gs-4/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-4-to-gs-5/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-5-to-gs-6/,NEUTRAL,Crawled - currently not indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-6-to-gs-7/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-30,2026-09-08
gspaytables,https://gspaytables.com/promotion/gs-7-to-gs-8/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-02,2026-09-08
